image_path,true_label_index,true_label_name,top1_index,top1_name,top1_prob,top2_index,top2_name,top2_prob,top3_index,top3_name,top3_prob,top4_index,top4_name,top4_prob,top5_index,top5_name,top5_prob,entropy,conf_bin,log_entropy,entropy_qbin,entropy_bin
./data/gtsrb/GTSRB/Training/00035/00009_00027.ppm,35,Ahead only,35,Ahead only,0.9996501207351683,33,Turn right ahead,0.0001085215408238,37,Go straight or left,7.222794374683872e-05,4,Speed limit (70km/h),3.6202265619067475e-05,36,Go straight or right,3.071529499720782e-05,0.002718579851711959,0.999-0.9999,-2.565657905964517,"(-3.323, -2.491]",medium
./data/gtsrb/GTSRB/Training/00007/00002_00012.ppm,7,Speed limit (100km/h),7,Speed limit (100km/h),1.0,5,Speed limit (80km/h),5.240108347237538e-10,16,Vehicles > 3.5t prohibited,2.4022375755272657e-10,40,Roundabout mandatory,2.0436659309286398e-10,1,Speed limit (30km/h),1.7637774574197349e-10,2.5034491919230772e-08,>0.9999,-7.601443870783603,"(-9.238, -4.526]",ultra_low
./data/gtsrb/GTSRB/Training/00012/00023_00005.ppm,12,Priority road,12,Priority road,0.9999927282333374,32,End of all speed and passing limits,1.4081083463679531e-06,13,Yield,1.0698724963731363e-06,20,Dangerous curve to the right,6.343979066514294e-07,11,Right-of-way at the next intersection,4.347265019077895e-07,5.6373470374802094e-05,>0.9999,-4.248925221300042,"(-4.526, -3.323]",low
./data/gtsrb/GTSRB/Training/00007/00031_00006.ppm,7,Speed limit (100km/h),7,Speed limit (100km/h),0.985206663608551,5,Speed limit (80km/h),0.0067954463884234,11,Right-of-way at the next intersection,0.001305294339545,1,Speed limit (30km/h),0.0009765114518813,16,Vehicles > 3.5t prohibited,0.0006271396414376,0.06866519988660771,0.9-0.99,-1.163263311353254,"(-1.637, 0.141]",high
./data/gtsrb/GTSRB/Training/00012/00038_00014.ppm,12,Priority road,12,Priority road,0.9999998807907104,13,Yield,2.396048337516277e-08,11,Right-of-way at the next intersection,1.7879941083265294e-08,32,End of all speed and passing limits,1.1035006686199722e-08,39,Keep left,9.804689504733233e-09,1.2415942505712862e-06,>0.9999,-5.9060199573734415,"(-9.238, -4.526]",very_low
./data/gtsrb/GTSRB/Training/00026/00001_00016.ppm,26,Traffic signals,26,Traffic signals,0.9999544620513916,18,General caution,1.952467027876992e-05,27,Pedestrians,6.906544058438158e-06,25,Road work,5.081466497358633e-06,21,Double curve,3.4605861856107367e-06,0.0004447861781050812,>0.9999,-3.3518487161014776,"(-4.526, -3.323]",low
./data/gtsrb/GTSRB/Training/00018/00008_00003.ppm,18,General caution,18,General caution,0.931604266166687,26,Traffic signals,0.016032300889492,11,Right-of-way at the next intersection,0.0130628645420074,6,End of speed limit (80km/h),0.0073066023178398,36,Go straight or right,0.005091234575957,0.2517558109037594,0.9-0.99,-0.5990204964853796,"(-1.637, 0.141]",very_high
./data/gtsrb/GTSRB/Training/00011/00011_00005.ppm,11,Right-of-way at the next intersection,11,Right-of-way at the next intersection,0.9998905658721924,30,Beware of ice/snow,5.5690565204713494e-05,37,Go straight or left,1.38159011839889e-05,21,Double curve,6.479459898400819e-06,33,Turn right ahead,3.206195060556638e-06,0.0009275208695477058,0.999-0.9999,-3.0326763093552604,"(-3.323, -2.491]",low
./data/gtsrb/GTSRB/Training/00013/00017_00002.ppm,13,Yield,13,Yield,0.9999998807907104,30,Beware of ice/snow,4.2540108324828914e-08,32,End of all speed and passing limits,2.3152090022904304e-08,1,Speed limit (30km/h),1.6103131272870996e-08,31,Wild animals crossing,1.0343518042077449e-08,1.7274148382765097e-06,>0.9999,-5.762603102774307,"(-9.238, -4.526]",very_low
./data/gtsrb/GTSRB/Training/00002/00032_00027.ppm,2,Speed limit (50km/h),2,Speed limit (50km/h),0.8072576522827148,5,Speed limit (80km/h),0.0673645734786987,1,Speed limit (30km/h),0.0380504988133907,3,Speed limit (60km/h),0.0197674948722124,15,No vehicles,0.014143249951303,0.6167413234520706,0.8-0.9,-0.20989695161197483,"(-1.637, 0.141]",very_high
./data/gtsrb/GTSRB/Training/00004/00043_00001.ppm,4,Speed limit (70km/h),4,Speed limit (70km/h),1.0,41,End of no passing,4.0771258591476567e-10,2,Speed limit (50km/h),2.388002573461278e-10,33,Turn right ahead,1.865583659776959e-10,34,Turn left ahead,1.4909659618034254e-10,2.1653511432810678e-08,>0.9999,-7.664451610337647,"(-9.238, -4.526]",ultra_low
./data/gtsrb/GTSRB/Training/00011/00005_00000.ppm,11,Right-of-way at the next intersection,11,Right-of-way at the next intersection,0.9961678385734558,30,Beware of ice/snow,0.0016709157498553,37,Go straight or left,0.0005551484646275,33,Turn right ahead,0.0002551305806264,35,Ahead only,0.0002082813443848,0.022547235654898162,0.99-0.999,-1.646906696046818,"(-2.491, -1.637]",high
./data/gtsrb/GTSRB/Training/00008/00020_00009.ppm,8,Speed limit (120km/h),8,Speed limit (120km/h),0.9997705817222596,5,Speed limit (80km/h),9.94710935628973e-05,7,Speed limit (100km/h),5.865655475645326e-05,38,Keep right,2.1514511900022623e-05,9,No passing,8.578514098189771e-06,0.0020489113622235563,0.999-0.9999,-2.6884768289563135,"(-3.323, -2.491]",medium
./data/gtsrb/GTSRB/Training/00028/00005_00011.ppm,28,Children crossing,28,Children crossing,0.9999924898147584,24,Road narrows on the right,5.986664746160386e-06,30,Beware of ice/snow,1.4261052001529606e-06,29,Bicycles crossing,3.236608847601019e-08,11,Right-of-way at the next intersection,2.8241890603908363e-08,9.975092286414543e-05,>0.9999,-4.00108307331297,"(-4.526, -3.323]",low
./data/gtsrb/GTSRB/Training/00003/00012_00014.ppm,3,Speed limit (60km/h),3,Speed limit (60km/h),0.8046917915344238,5,Speed limit (80km/h),0.0514192841947078,33,Turn right ahead,0.0345061086118221,12,Priority road,0.0263075083494186,40,Roundabout mandatory,0.0189442746341228,0.6144662523435271,0.8-0.9,-0.2115019644016458,"(-1.637, 0.141]",very_high
./data/gtsrb/GTSRB/Training/00031/00001_00000.ppm,31,Wild animals crossing,31,Wild animals crossing,0.9652992486953736,28,Children crossing,0.0295551735907793,20,Dangerous curve to the right,0.0036931585054844,25,Road work,0.0005097525427117,27,Pedestrians,0.0002191708626924,0.16456781332276746,0.9-0.99,-0.783655101461343,"(-1.637, 0.141]",very_high
./data/gtsrb/GTSRB/Training/00025/00010_00025.ppm,25,Road work,25,Road work,0.9999966621398926,8,Speed limit (120km/h),2.211445007560542e-06,33,Turn right ahead,5.50798290532839e-07,24,Road narrows on the right,1.773306905761274e-07,26,Traffic signals,1.562590625781013e-07,4.52785377801244e-05,>0.9999,-4.344107597057606,"(-4.526, -3.323]",low
./data/gtsrb/GTSRB/Training/00020/00003_00010.ppm,20,Dangerous curve to the right,20,Dangerous curve to the right,0.9999986886978148,24,Road narrows on the right,1.2130323057135683e-06,27,Pedestrians,4.6684768051363796e-08,11,Right-of-way at the next intersection,3.0216554591788736e-08,18,General caution,2.842114632528592e-08,1.9640769473100975e-05,>0.9999,-4.70684147960136,"(-9.238, -4.526]",low
